PARTICIPANT ID,SEX,EST. Current Age,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY
184,1,28,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:32:49,M25-29
185,0,44,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:55:13,F40-44,2013-08-25,Marathon des Deux Rives Lévis-Québec,42.2,04:24:45,F40-49,2012-09-23,Marathon Oasis de Montreal,42.2,04:10:44,F40-44
186,1,39,2012-05-27,Ottawa Race Weekend,42.2,03:44:24,M35-39
187,1,50,2013-09-22,Marathon Oasis de Montreal,42.2,-1,M45-49
188,1,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:15:44,M18-24
189,1,59,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,-1,M55-59,2013-08-25,Marathon des Deux Rives Lévis-Québec,42.2,04:04:34,M50-59,2013-05-26,Ottawa Race Weekend,42.2,-1,M55-59,2012-09-23,Marathon Oasis de Montreal,42.2,04:11:48,M55-59
190,0,34,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:47:23,F30-34
191,1,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:47:17,M40-44
192,1,43,2015-05-24,Tamarack Ottawa Race Weekend,42.2,-1,M40-44,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:52:34,M40-44
193,1,41,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:22:13,M40-44,2014-09-13,The North Face Ultra-Trail Harricana du Canada,65,10:33:10,M30-39,2013-08-25,Marathon des Deux Rives Lévis-Québec,42.2,04:32:17,M30-39
194,1,31,2012-09-23,Marathon Oasis de Montreal,42.2,03:53:03,M25-29
195,1,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:17:38,M18-24
196,1,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:04:07,M40-44
197,1,39,2013-09-22,Marathon Oasis de Montreal,42.2,04:03:32,M35-39,2013-05-26,Ottawa Race Weekend,42.2,-1,M35-39,2012-09-23,Marathon Oasis de Montreal,42.2,04:08:10,M35-39
198,0,43,2014-04-27,Banque Scotia 21km et 5km,21,01:58:08,F40-44,2013-09-22,Marathon Oasis de Montreal,42.2,-1,F40-44
199,0,50,2013-09-22,Marathon Oasis de Montreal,42.2,04:19:38,F45-49
200,1,43
201,1,48
202,1,55,2016-08-28,Marathon SSQ Lévis-Québec,42.2,-1,M55-59,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:09:19,M50-54,2013-09-22,Marathon Oasis de Montreal,42.2,04:02:14,M50-54,2012-09-23,Marathon Oasis de Montreal,42.2,04:15:21,M50-54
203,1,30
204,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:07:21,M40-44
205,1,45,2016-05-29,Tamarack Ottawa Race Weekend,42.2,-1,M45-49,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:16:53,M40-44,2013-09-22,Marathon Oasis de Montreal,42.2,03:06:44,M40-44,2013-05-26,Ottawa Race Weekend,42.2,-1,M40-44
206,0,55,2013-09-22,Marathon Oasis de Montreal,42.2,03:57:36,F50-54
207,1,47,2016-08-28,Marathon SSQ Lévis-Québec,42.2,-1,M45-49,2015-05-24,Tamarack Ottawa Race Weekend,42.2,-1,M45-49,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:45:50,M45-49,2014-05-25,Tamarack Ottawa Race Weekend,42.2,-1,M45-49,2013-05-26,Ottawa Race Weekend,42.2,-1,M40-44,2012-09-23,Marathon Oasis de Montreal,42.2,-1,M40-44,2012-05-27,Ottawa Race Weekend,42.2,04:26:41,M40-44
208,1,38,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:20:55,M35-39,2014-04-27,Banque Scotia 21km et 5km,21,01:39:06,M35-39
209,0,43
210,0,40,2013-09-22,Marathon Oasis de Montreal,42.2,04:13:36,F35-39
211,0,22
212,1,45,2012-09-23,Marathon Oasis de Montreal,42.2,04:00:36,M40-44
213,1,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:52:17,M30-34
214,0,27,2013-09-22,Marathon Oasis de Montreal,42.2,04:14:55,F25-29
215,0,52,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:31:09,F50-54,2012-09-23,Marathon Oasis de Montreal,42.2,04:13:35,F45-49
216,1,22,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:20:30,M18-24
217,1,34,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:28:19,M30-34,2015-04-25,Demi-Marathon des Érables,30,03:15:42,M30-39
218,0,38,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:37:35,F35-39
219,0,38
220,0,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:10:19,F25-29
221,1,40,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:21:26,M40-44,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:46:14,M35-39,2013-09-22,Marathon Oasis de Montreal,42.2,05:09:08,M35-39
222,1,40,2012-09-23,Marathon Oasis de Montreal,42.2,04:42:39,M35-39
223,1,35,2013-09-22,Marathon Oasis de Montreal,42.2,03:14:23,M30-34
224,1,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:40:22,M40-44
225,0,51,2012-09-23,Marathon Oasis de Montreal,42.2,04:37:47,F45-49
226,1,48,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:28:13,M45-49
227,0,38
228,1,30,2013-09-22,Marathon Oasis de Montreal,42.2,03:57:47,M25-29
